date,day as a number,Physical distancing-Closure of educational institutions-Daycare nursery,International travel-Travel advice-Not applicable,International travel-Total border closure-Not applicable,Case management and quarantine-Contact tracing-Mobile technology,Physical distancing-Measures for special populations-Stay at home risk groups,Physical distancing-Closure of public spaces-Restaurants cafes,Physical distancing-Closure of public spaces-Entertainment venues,Physical distancing-Closure of public spaces-Gyms sports centres,Physical distancing-Workplace measures-Teleworking,Case management and quarantine-Contact tracing-Other,Case management and quarantine-Quarantine-For contacts,General-Exemptions to NPIs-Vaccination proof,Hygiene and safety measure-Other-Not applicable,Physical distancing-Measures for special populations-Visiting restrictions,Physical distancing-Closure of educational institutions-Higher Education,International travel-Quarantine for international travellers-Not applicable,Physical distancing-Public gathering restriction-Ban on all events,International travel-Border screening-PCR/rapid antigen testing,Physical distancing-Private gathering restriction-Gathering,Physical distancing-Closure of educational institutions-Secondary School,Physical distancing-Closure of educational institutions-Primary School,Hygiene and safety measure-Protective mask use community-Closed public spaces,Hygiene and safety measure-Protective mask use community-All public spaces,Case management and quarantine-Isolation of case-Not applicable,Physical distancing-Public gathering restriction-Indoor over 500,General-Communication to the public-Not applicable,General-Communication to healthcare services-Not applicable,Physical distancing-Public gathering restriction-Indoor over 100,Physical distancing-Public gathering restriction-Outdoor over 500,Physical distancing-Closure of public spaces-Place of worship,Physical distancing-Closure of public spaces-Non essential shops,Internal travel-Travel restrictions-Cordon sanitaire
2020-04-08,38,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-09,39,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-10,40,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-11,41,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-12,42,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-13,43,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-14,44,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-15,45,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-16,46,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-17,47,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-18,48,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-19,49,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-20,50,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-21,51,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-22,52,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-23,53,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-24,54,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-25,55,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-26,56,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-27,57,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-28,58,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-29,59,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-04-30,60,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-05-01,61,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-05-02,62,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-05-03,63,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2
2020-05-04,64,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-05,65,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-06,66,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-07,67,2,2,2,0,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-08,68,2,2,2,0,2,2,2,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-09,69,2,2,2,0,2,2,2,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-10,70,2,2,2,0,2,2,2,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-11,71,2,2,2,0,2,2,2,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-12,72,2,2,2,0,2,2,2,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-13,73,2,2,2,0,2,2,2,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-14,74,2,2,2,0,2,2,2,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-15,75,2,2,2,0,2,2,2,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-16,76,2,2,2,0,2,2,2,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-17,77,2,2,2,0,2,2,2,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-18,78,2,2,2,0,2,2,2,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-19,79,2,2,2,0,2,2,2,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-20,80,2,2,2,0,2,2,2,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-21,81,2,2,2,0,2,2,2,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
2020-05-22,82,2,2,2,0,2,1,0,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-05-23,83,2,2,2,0,2,1,0,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-05-24,84,2,2,2,0,2,1,0,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-05-25,85,2,2,2,0,2,1,0,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-05-26,86,2,2,2,0,2,1,0,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-05-27,87,2,2,2,0,2,1,0,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-05-28,88,2,2,2,0,2,1,0,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-05-29,89,2,2,2,0,2,1,0,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-05-30,90,2,2,2,0,2,1,0,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-05-31,91,2,2,2,0,2,1,0,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-01,92,2,2,2,0,2,1,0,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-02,93,2,2,2,0,2,1,0,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-03,94,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-04,95,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-05,96,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-06,97,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-07,98,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-08,99,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-09,100,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-10,101,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-11,102,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-12,103,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-13,104,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-14,105,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-15,106,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-16,107,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-17,108,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-18,109,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-19,110,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-20,111,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-21,112,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-22,113,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-23,114,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-24,115,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-25,116,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-26,117,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-27,118,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-28,119,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-29,120,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-30,121,2,2,2,0,0,1,0,1,2,0,2,0,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,0,1,0
2020-07-01,122,0,2,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-02,123,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-03,124,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-04,125,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-05,126,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-06,127,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-07,128,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-08,129,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-09,130,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-10,131,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-11,132,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-12,133,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-13,134,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-14,135,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-15,136,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-16,137,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-17,138,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-18,139,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-19,140,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-20,141,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-21,142,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-22,143,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-23,144,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-24,145,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-25,146,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-26,147,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-27,148,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-28,149,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-29,150,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-30,151,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-07-31,152,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-01,153,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-02,154,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-03,155,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-04,156,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-05,157,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-06,158,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-07,159,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-08,160,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-09,161,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-10,162,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-11,163,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-12,164,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-13,165,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-14,166,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-15,167,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-16,168,0,0,1,0,0,1,0,1,2,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-17,169,0,0,1,0,0,1,1,1,2,0,2,0,0,2,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-18,170,0,0,1,0,0,1,1,1,2,0,2,0,0,2,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0
2020-08-19,171,0,0,1,0,0,1,1,1,2,0,2,0,0,2,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0
